jigyousya,name,capacity,category1,category2,remark,address,LocName,lng,lat,iConf,iLvl
長野市,松ヶ丘配水池,2800,〇,,,長野市安茂里小市２丁目6530番3,,138.14601621848215,36.62811763302211,5,5
長野市,上野配水池,3150,〇,,,長野市上野2丁目137-3,,138.2348808877979,36.684209779400355,5,5
長野市,久保調整地,55,〇,,,長野市大字塩生乙2456,,138.1088665532355,36.63044189296836,5,5
長野市,湯谷配水池,464,〇,,,長野市上松5丁目2661-3,,138.200464213,36.67623609925151,5,7
長野市,夏目ケ原浄水場,13212,〇,,,長野市大字平柴246,長野県/長野市/平柴/２４６番地,138.17526,36.64859,5,7
長野市,蚊里田配水池,5000,〇,,,長野市大字若槻東条1321,長野県/長野市/若槻東条/１３２１番地,138.22282,36.69114,5,7
長野市,往生地浄水場,6174,〇,,,長野市大字西長野1220-2,長野県/長野市/西長野/２０番地,138.18088,36.65637,5,7
長野市,東寺尾配水池,1344,〇,,,長野市松代町東寺尾4166-3,長野県/長野市/松代町東寺尾,138.20227,36.57901,5,5
長野市,氷ノ田配水池,178,〇,,,長野市信更町氷ノ田133-2.135-2,長野県/長野市/信更町氷ノ田,138.07242,36.57422,5,5
長野市,坪根配水池,185,〇,,,長野市七二会戊 1687-1,長野県/長野市/七二会,138.07904,36.62929,5,5
長野市,山田中配水池,56,〇,,,長野市大字山田中1375番地5,長野県/長野市/田中/１３７５番地,138.23082,36.69576,5,7
長野市,広瀬配水池,187,〇,,,長野市広瀬1662-9,長野県/長野市/広瀬,138.13271,36.67884,5,5
長野市,矢原配水池,990,〇,,,長野市若穂保科2913-1,長野県/長野市/若穂保科,138.28133,36.56697,5,5
長野市,象山第２配水池,336,〇,,,長野市松代町清野3249-1,長野県/長野市/松代町清野,138.18277,36.5549,5,5
長野市,浅野配水池,1541,〇,,,長野市豊野町浅野60,長野県/長野市/豊野町浅野,138.2963,36.71854,5,5
長野市,飯綱浄水場,569,〇,,,長野市大字上ケ屋2471-78,長野県/長野市/上ケ屋/２４７１番地,138.11601,36.69769,5,7
長野市,上楠川浄水場,115,〇,,,長野市戸隠1624-1,長野県/長野市/戸隠,138.06596,36.77427,5,5
長野市,城調整槽,569,〇,,,長野市中条日下野91-1,長野県/長野市/中条日下野,138.04587,36.63533,5,5
長野市,中条配水池,498,〇,,,長野市中条4266-2,長野県/長野币E中条,138.0336,36.612,5,5
長野市,長井配水池,78,〇,,,長野市中条日高5445-2,長野県/長野市/中条日高,138.05183,36.60649,5,5
長野市,里原配水池,163,〇,,,長野市中条住良木9903-3,長野県/長野市/中条住良木,138.01445,36.61471,5,5
長野市,高原第１配水池,1016,〇,,,長野市大字富田飯綱山国有林42ぬ林小班,長野県/長野市/富田,138.13911,36.72662,5,5
長野県企業局,篠ノ井調整池,8000,〇,,,,,,,,
長野県企業局,犬石配水池,1340,〇,,,,,,,,
長野県企業局,共和配水池,800,〇,,,,,,,,
長野県企業局,小松原配水池,8700,〇,,,,,,,,
長野市,長野運動公園緊急貯水槽,,,〇,緊急貯水槽,長野市東和田532,,138.23402849063487,36.657734366759584,5,5
長野市,若里公園緊急貯水槽,,,〇,緊急貯水槽,長野市若里295-1,,138.187082,36.6343549,5,7
長野市,千木減圧弁,,,,減圧弁,小田切,,138.11625816808626,36.660553169285,, 
長野市,千木減圧槽,,,,,小田切,,138.11290426190016,36.65888195777105,,
長野市,栃ノ木減圧槽,,,,,小田切,,138.1113386384252,36.65711287820803,,
長野市,小野平配水池,,,,配水池,小田切,,138.1022471951226,36.65411102962995,,
長野市,繁配水池,,,,配水池,小田切,,138.1039599138426,36.65068964158415,,
長野市,山田中配水池,,,,配水池,小田切,,138.11440884710956,36.65023305742208,,
長野市,田中減圧槽,,,,,小田切,,138.1123848732602,36.64891230636745,,
長野市,枇杷減圧弁,,,,,小田切,,138.12337546530247,36.64884333050468,,
長野市,川越減圧弁,,,,,小田切,,138.1183481133382,36.6452784603121,,
長野市,麻庭配水池,,,,,小田切,,138.10548655823223,36.64356978265654,,
長野市,矢平減圧槽,,,,,小田切,,138.10985796550102,36.6432898171625,,
長野市,船久保減圧槽,,,,,小田切,,138.1033728096871,36.63894312820753,,
長野市,小渕減圧槽,,,,,小田切,,138.1050407103378,36.63778136616135,,
長野市,草崎減圧槽,,,,,小田切,,138.10395534098234,36.63558610936585,,
長野市,仏口伝配水池,,,,,小田切,,138.10979102829555,36.63576147066547,,
長野市,榎減圧槽,,,,,小田切,,138.10904479051757,36.63067957636577,,
長野市,無級平減圧槽,,,,,小田切,,138.10708490559165,36.62779679436724,,
長野市,保玉減圧槽,,,,,,小田切,,138.10792978018677,36.62392855423361,,
長野市,上深沢減圧弁,,,,,小田切,,138.1216101202612,36.64068822638016,,
長野市,平深沢減圧槽,,,,,,小田切,138.12221204411088,36.64010143508617,,
長野市,下深沢第１減圧槽,,,,,小田切,,138.12517822497887,36.639126465264816,,
長野市,日方配水池,,,,,小田切,,138.12008530060046,36.63944860096302,,
長野市,日方減圧槽,,,,,小田切,,138.12097664771431,36.63838213974395,,
長野市,日方１ｔ,,,,,小田切,,138.12149325377524,36.634864219917404,,
長野市,栗林減圧槽,,,,,小田切,,138.12182639449495,36.633280142818386,,
長野市,栃久保配水池,,,,,小田切,,138.1259000166342,36.63056873213755,,
長野市,栃久保２ｔ,,,,,小田切,,138.12740336479558,36.63066364344584,,
長野市,吉窪減圧槽,,,,,小田切,,138.1221676324665,36.626705472134624,,
長野市,花上第１減圧槽,,,,,小田切,,138.12100214558785,36.62550258944201,,
長野市,花上第２減圧槽,,,,,小田切,,138.11612388057662,36.62293092619683,,
長野市,新橋減圧弁,,,,,小田切,,138.1200851710642,36.62299529976079,,
長野市,新橋第１減圧槽,,,,,小田切,,138.121653497259,36.622030902902424,,
長野市,新橋第２減圧槽,,,,,小田切,,138.12400728291448,36.620996615904545,,
長野市,滝沢第２ポンプ場,,,,,小田切,,138.12934862066433,36.62684940618095,,
長野市,滝沢第１ポンプ場,,,,,小田切,,138.131208422958,36.623117628045456,,
長野市,小鍋第２減圧槽,,,,,小鍋,,138.12747831916968,36.66410003765989,,
長野市,小鍋第１減圧槽,,,,,小鍋,,138.12577301723383,36.66321601845007,,
長野市,小鍋配水池,,,,,小鍋,,138.1253024336583,36.66253393610759,,
長野市,大川減圧槽,,,,,小鍋,,138.12111196523367,36.66094198144413,,
長野市,大川配水池,,,,,小鍋,,138.12279381399122,36.660750046510245,,
長野市,西の久保第２減圧槽,,,,,小鍋,,138.1273068911372,36.6579463066341,,
長野市,西の久保第１減圧槽,,,,,小鍋,,138.1288533850079,36.656330079313726,,
長野市,百瀬減圧槽,,,,,,,138.14481445444764,36.666817914264456,,
長野市,百瀬配水池,,,,,,,138.14313007901106,36.66426068690539,,
長野市,湯山配水池,,,,,小鍋,,138.1409516955281,36.66020395463855,,

長野市,洞第１減圧槽,,,,,芋井,,138.13519439210165,36.67070808860255,,
長野市,洞第２減圧槽,,,,,芋井,,138.13881783589537,36.67136023406212,,
長野市,洞第３減圧槽,,,,,芋井,,138.14090205326715,36.66936670472476,,
長野市,湯の瀬沈砂池,,,,,芋井,,138.13618064016103,36.66517561326918,,
長野市,湯の瀬接合井,,,,,芋井,,138.1336797860943,36.664315042954485,,
長野市,裾花川水源,,,,,芋井,,138.13339045802385,36.664153949292846,,

長野市,滝屋減圧槽,,,,,七二会,,138.09886358932707,36.646695211904074,,
長野市,垣根配水池,,,,,七二会,,138.09278090735032,36.6419113753774,,

長野市,川下配水池,,,,,戸隠祖山,,138.09732974667594,36.673132164505105,,
長野市,下内減圧槽,,,,,戸隠祖山,,138.09203969990432,36.66924876483978,,
長野市,下内配水池,,,,,戸隠祖山,,138.0929126406733,36.66728633335082,,
長野市,下祖山第３接合井,,,,,戸隠祖山,,138.09785658376467,36.66467205269987,,
長野市,下祖山第２水源,,,,,戸隠祖山,,138.09650128065505,36.663677896868755,,
長野市,下祖山第３水源,,,,,戸隠祖山,,138.09555049799727,36.661722721492694,,
長野市,坪山配水池,,,,,戸隠祖山,,138.0960368406245,36.6607253700038,,
長野市,下祖山第２接合井,,,,,戸隠祖山,,138.09580380810678,36.65926849266033,,
長野市,下祖山第１接合井,,,,,戸隠祖山,,138.0954820063668,36.6575243825034,,
長野市,下祖山第１水源,,,,,戸隠祖山,,138.0951069015014,36.65549644329048,,
長野市,,,,,,,,
